sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,var,17493,s4,False
sell_in,A,g2,다,W,var,30794,s4,False
sell_in,A,all,가,W,var,17493,s4,False
sell_in,A,all,다,W,var,30794,s4,False
sell_in,A,all,all,W,var,34932,s4,False
sell_in,B,g1,나,W,var,6215,s4,False
sell_in,B,g2,라,W,var,5060,s4,False
sell_in,B,all,나,W,var,6215,s4,False
sell_in,B,all,라,W,var,5060,s4,False
sell_in,B,all,all,W,var,10919,s4,False
sell_in,C,g1,나,W,var,4745,s4,False
sell_in,C,g3,마,W,var,88289,s4,False
sell_in,C,all,나,W,var,4745,s4,False
sell_in,C,all,마,W,var,88289,s4,False
sell_in,C,all,all,W,var,89688,s4,False
sell_in,all,g1,가,W,var,17493,s4,False
sell_in,all,g1,나,W,var,9736,s4,False
sell_in,all,g1,all,W,var,21599,s4,False
sell_in,all,g2,다,W,var,30794,s4,False
sell_in,all,g2,라,W,var,5060,s4,False
sell_in,all,g2,all,W,var,30601,s4,False
sell_in,all,g3,마,W,var,88289,s4,False
sell_in,all,all,가,W,var,17493,s4,False
sell_in,all,all,다,W,var,30794,s4,False
sell_in,all,all,나,W,var,9736,s4,False
sell_in,all,all,라,W,var,5060,s4,False
sell_in,all,all,마,W,var,88289,s4,False
sell_in,all,all,all,W,var,102283,s4,False
sell_out,A,g3,바,W,var,4525,s4,False
sell_out,A,g1,가,W,var,2025,s4,False
sell_out,A,g2,다,W,var,16328,s4,False
sell_out,A,all,바,W,var,4525,s4,False
sell_out,A,all,가,W,var,2025,s4,False
sell_out,A,all,다,W,var,16328,s4,False
sell_out,A,all,all,W,var,16700,s4,False
sell_out,B,g3,바,W,var,1606,s4,False
sell_out,B,g1,나,W,var,3922,s4,False
sell_out,B,g2,라,W,var,1243,s4,False
sell_out,B,all,바,W,var,1606,s4,False
sell_out,B,all,나,W,var,3922,s4,False
sell_out,B,all,라,W,var,1243,s4,False
sell_out,B,all,all,W,var,4650,s4,False
sell_out,C,g3,바,W,var,1419,s4,False
sell_out,C,g3,마,W,var,55595,s4,False
sell_out,C,g3,all,W,var,58669,s4,False
sell_out,C,g1,나,W,var,3099,s4,False
sell_out,C,all,바,W,var,1419,s4,False
sell_out,C,all,나,W,var,3099,s4,False
sell_out,C,all,마,W,var,55595,s4,False
sell_out,C,all,all,W,var,62768,s4,False
sell_out,all,g3,바,W,var,7176,s4,False
sell_out,all,g3,마,W,var,55595,s4,False
sell_out,all,g3,all,W,var,68003,s4,False
sell_out,all,g1,가,W,var,2025,s4,False
sell_out,all,g1,나,W,var,6006,s4,False
sell_out,all,g1,all,W,var,7258,s4,False
sell_out,all,g2,다,W,var,16328,s4,False
sell_out,all,g2,라,W,var,1243,s4,False
sell_out,all,g2,all,W,var,17000,s4,False
sell_out,all,all,바,W,var,7176,s4,False
sell_out,all,all,가,W,var,2025,s4,False
sell_out,all,all,다,W,var,16328,s4,False
sell_out,all,all,나,W,var,6006,s4,False
sell_out,all,all,라,W,var,1243,s4,False
sell_out,all,all,마,W,var,55595,s4,False
sell_out,all,all,all,W,var,82844,s4,False
