sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,var,14628,s4,True
sell_in,A,g2,다,W,var,27586,s4,True
sell_in,A,all,가,W,var,14628,s4,True
sell_in,A,all,다,W,var,27586,s4,True
sell_in,A,all,all,W,var,32121,s4,True
sell_in,B,g1,나,W,var,5904,s4,True
sell_in,B,g2,라,W,var,4942,s4,True
sell_in,B,all,나,W,var,5904,s4,True
sell_in,B,all,라,W,var,4942,s4,True
sell_in,B,all,all,W,var,10591,s4,True
sell_in,C,g1,나,W,var,4072,s4,True
sell_in,C,g3,마,W,var,64628,s4,True
sell_in,C,all,나,W,var,4072,s4,True
sell_in,C,all,마,W,var,64628,s4,True
sell_in,C,all,all,W,var,66632,s4,True
sell_in,all,g1,가,W,var,14628,s4,True
sell_in,all,g1,나,W,var,8823,s4,True
sell_in,all,g1,all,W,var,19815,s4,True
sell_in,all,g2,다,W,var,27586,s4,True
sell_in,all,g2,라,W,var,4942,s4,True
sell_in,all,g2,all,W,var,27838,s4,True
sell_in,all,g3,마,W,var,64628,s4,True
sell_in,all,all,가,W,var,14628,s4,True
sell_in,all,all,다,W,var,27586,s4,True
sell_in,all,all,나,W,var,8823,s4,True
sell_in,all,all,라,W,var,4942,s4,True
sell_in,all,all,마,W,var,64628,s4,True
sell_in,all,all,all,W,var,85688,s4,True
sell_out,A,g3,바,W,var,3018,s4,True
sell_out,A,g1,가,W,var,1777,s4,True
sell_out,A,g2,다,W,var,16012,s4,True
sell_out,A,all,바,W,var,3018,s4,True
sell_out,A,all,가,W,var,1777,s4,True
sell_out,A,all,다,W,var,16012,s4,True
sell_out,A,all,all,W,var,16152,s4,True
sell_out,B,g3,바,W,var,1175,s4,True
sell_out,B,g1,나,W,var,3729,s4,True
sell_out,B,g2,라,W,var,1219,s4,True
sell_out,B,all,바,W,var,1175,s4,True
sell_out,B,all,나,W,var,3729,s4,True
sell_out,B,all,라,W,var,1219,s4,True
sell_out,B,all,all,W,var,4506,s4,True
sell_out,C,g3,바,W,var,1228,s4,True
sell_out,C,g3,마,W,var,49118,s4,True
sell_out,C,g3,all,W,var,50372,s4,True
sell_out,C,g1,나,W,var,2676,s4,True
sell_out,C,all,바,W,var,1228,s4,True
sell_out,C,all,나,W,var,2676,s4,True
sell_out,C,all,마,W,var,49118,s4,True
sell_out,C,all,all,W,var,53583,s4,True
sell_out,all,g3,바,W,var,4311,s4,True
sell_out,all,g3,마,W,var,49118,s4,True
sell_out,all,g3,all,W,var,54049,s4,True
sell_out,all,g1,가,W,var,1777,s4,True
sell_out,all,g1,나,W,var,5412,s4,True
sell_out,all,g1,all,W,var,6682,s4,True
sell_out,all,g2,다,W,var,16012,s4,True
sell_out,all,g2,라,W,var,1219,s4,True
sell_out,all,g2,all,W,var,16577,s4,True
sell_out,all,all,바,W,var,4311,s4,True
sell_out,all,all,가,W,var,1777,s4,True
sell_out,all,all,다,W,var,16012,s4,True
sell_out,all,all,나,W,var,5412,s4,True
sell_out,all,all,라,W,var,1219,s4,True
sell_out,all,all,마,W,var,49118,s4,True
sell_out,all,all,all,W,var,71359,s4,True
